Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo
Foxy Brown,Jack Hill,Buzz Feitshans,NA,Brick Marquard,Pam Grier,Antonio Fargas,Peter Brown,Terry Carter,Kathryn Loder,Action,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 1/2 Ninjas,Aaron Barsky,John Morrissey,Republic Pictures Productions,Fernando Arguelles,Michael Phenicie,Andee Gray,Robert Fieldsteel,Magda Harout,"Tommy ""Tiny"" Lister Jr.",Action,1990,NA,NA,1500000,NA,NA,NA,NA,NA,NA,NA
Alligator II: The Mutation,Jon Hess,Brandon Chase,NA,Joseph Mangine,Joseph Bologna,Dee Wallace Stone,Woody Brown,Holly Gagnier,Richard Lynch,Horror,1990,NA,NA,6.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
Back to Back,John Kincade,Brad Krevoy,Concorde Productions,James L Carter,Bill Paxton,Todd Field,Apollonia Kotero,Ben Johnson,Luke Askew,Drama,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Behind the Mask,Warren Chaney,Warren Chaney,NA,NA,Deborah Winters,John Swayze,Roy Alan Wilson,Kevin Hickman,Steve Ward,Action,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beyond the Door III,Jeff Kwitny,NA,NA,Adolfo Bartoli,Mary Kohnert,Bo Svenson,Victoria Zinny,Savina Geršak,Sarah Ciminera Conway,Horror,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blades,Thomas R Rondinella,John P Finegan,Troma Entertainment,Jim Hayman,Robert North,Jeremy Whelan,Victoria Scott,Holly Stevenson,William Towner,Horror,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bullseye!,Michael Winner,Michael Winner,Sony Pictures,David Wynn-Jones,Michael Caine,Roger Moore,Sally Kirkland,Deborah Barrymore,Lee Patterson,Comedy,1990,NA,NA,1.50E+07,NA,NA,NA,NA,NA,NA,NA
Caged Fury,Bill Milling,Bill Milling,21st Century Film Corporation,Kenneth Witrak,Erik Estrada,Richie Barathy,Roxanna Michaels,Paul L Smith,James Hong,Action,1990,NA,NA,3.00E+06,NA,NA,NA,NA,NA,NA,NA
Cat Chaser,Abel Ferrara,Peter S Davis,Vestron Pictures,Anthony B Richmond,Peter Weller,Kelly McGillis,Charles Durning,Frederic Forrest,Tomas Milian,Romance,1990,NA,NA,8.00E+06,NA,Native-born,North America (US),US,Male,Caucasian,NA
Crash and Burn,Charles Band,David DeCoteau,NA,Mac Ahlberg,Ralph Waite,Paul E Ganus,Megan Ward,Bill Moseley,Jack McGee,Sci-Fi,1990,NA,NA,2500000,NA,Native-born,North America (US),US,NA,NA,NA
Curse III: Blood Sacrifice,Sean Barton,Christopher Coy,NA,Phillip Grosvenor,Christopher Lee,Jenilee Harrison,Henry Cele,Andre Jacobs,Zoe Randall,Horror,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Death Spa,Michael Fischa,Jamie Beardsley,NA,Arledge Armenaki,William Bumiller,Brenda Bakke,Merritt Butrick,Robert Lipton,Rosalind Cash,Horror,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eternity,Steven Paul,Steven Paul,Triax Entertainment Group,John Lambert,Jon Voight,Armand Assante,Eileen Davidson,Wilford Brimley,Kaye Ballard,Drama,1990,NA,NA,1.00E+07,NA,NA,NA,NA,NA,NA,NA
Exiled in America,Paul Leder,Ralph Tornberg,NA,Francis Grumman,Edward Laurence Albert,Wings Hauser,Kamala Lopez-Dawson,Stella Stevens,Maxwell Caulfield,Action,1990,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Fatal Mission,George Rowe,Chosei Funahara,NA,Phil Parmet,Peter Fonda,Tia Carrere,Mako,Ted Markland,Felind Obach,Action,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hard to Die,Jim Wynorski,Jim Wynorski,NA,Jurgen Baum,Robyn Harris,Melissa Moore,Lindsay Taylor,Debra Dare,Bridget Carney,Action,1990,NA,NA,NA,NA,Native-born,North America (US),US,Male,Caucasian,NA
Identity Crisis,Melvin Van Peebles,Melvin Van Peebles,NA,Jim Hinton,Mario Van Peebles,Ilan Mitchell-Smith,Shelley Burch,Richard Fancy,Nicholas Kepros,Action,1990,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Iron Thunder,Anthony Elmore,Anthony Elmore,NA,Larry Ray Dunn,Anthony Elmore,George M Young,Julius Dorsey,Tommie Lee Ray,Traci Cloyd,Drama,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jezebel's Kiss,Harvey Keith,Eric F Scheffer,NA,Brian J Reynolds,Katherine Barrese,Meredith Baxter,Meg Foster,Brent Fraser,Malcolm McDowell,Drama,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jobman,Darrell James Roodt,Christopher Coy,NA,Paul White,Kevin Smith,Tertius Meintjes,Lynn Gaines,Marcel Van Heerden,Goliath Davids,Drama,1990,NA,NA,NA,NA,Foreign-born,Africa,South Africa,Male,Black or African American,NA
Last Call,Jag Mundhra,Victor Bhalla,NA,James Mathers,William Katt,Shannon Tweed,Joseph Campanella,Matt Roe,Stella Stevens,Thriller,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liberty & Bash,Myrl A Schreibman,Douglas Forsmith,NA,Tom DeNove,Miles O'Keeffe,Lou Ferrigno,Mitzi Kapture,Lynnette Mettey,Charles Dierkop,Action,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Love Hurts,Bud Yorkin,Bud Yorkin,NA,Adam Greenberg,Jeff Daniels,Cynthia Sykes,Judith Ivey,John Mahoney,Cloris Leachman,Comedy,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martial Law,S E Cohen,Kurt Anderson,Heron Communications,John Huneck,Chad McQueen,Cynthia Rothrock,David Carradine,Andy McCutcheon,Philip Tan,Action,1990,NA,NA,2.00E+06,NA,NA,NA,NA,NA,NA,NA
Masters of Menace,Daniel Raskov,Lisa M. Hansen,New Line Cinema,Edward J Pei,David Rasche,Catherine Bach,Lance Kinsey,Teri Copley,Ray Baker,Adventure,1990,NA,NA,2.00E+06,NA,NA,NA,NA,NA,NA,NA
Mom,Patrick Rand,Leon Dudevoir,NA,David H Sperling,Stella Stevens,Mark Thomas Miller,Jeanne Bates,Brion James,Mary McDonough,Comedy,1990,NA,NA,2.00E+06,NA,NA,NA,NA,NA,NA,NA
Mortal Sins,Yuri Sivo,Allen Blumberg,Panorama Entertainment,Bobby Bukowski,Brian Benben,Debrah Farentino,Anthony LaPaglia,James Harper,Brick Hartney,Crime,1990,NA,NA,9.00E+05,NA,NA,NA,NA,NA,NA,NA
Murder By Numbers,Paul Leder,Ralph Tornberg,NA,Francis Grumman,Sam Behrens,Shari Belafonte,Ronee Blakley,Stanley Kamel,Jayne Meadows,Crime,1990,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Nerds of a Feather,Gary Graver,Romeo M,International Investment Holdings,Richmond Aguilar,Mario R Milano,Kathleen Kichta,Pat McCormick,Anya Karin,Charles Pierce,Action,1990,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Night Eyes,Jag Mundhra,Ashok Amritraj,NA,James Mathers,Andrew Stevens,Tanya Roberts,Cooper Huckabee,Warwick Sims,Karen Baldwin,Thriller,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ninja Academy,Nico Mastorakis,Jonathan D Gift,NA,Steven Shaw,Will Egan,Kelly Randall,Gerald Okomura,NA,NA,Comedy,1990,NA,NA,NA,NA,Foreign-born,NA,Greek,NA,NA,NA
On the Block,Steve Yeager,Steve Yeager,Trimark Pictures,Erich Roland,Howard E Rollins Jr.,Marilyn Jones,Jerry B Whiddon,Michael Gabel,Erika Bogren,Drama,1990,NA,NA,750000,NA,Native-born,North America (US),US,NA,NA,NA
Perfume of the Cyclone,David Irving,Edgar Bold,NA,James Robb,Kris Kristofferson,Runeke,Kimb Stark,Marisa Berenson),Tony Fredjohn,Drama,1990,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
