Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
Back to Back,John Kincade,Brad Krevoy,Concorde Productions,James L Carter,Bill Paxton,Todd Field,Apollonia Kotero,Ben Johnson,Luke Askew,Drama,1990,,,,,,,,,,,1,1996,20,2,21,8,25
Crash and Burn,Charles Band,David DeCoteau,,Mac Ahlberg,Ralph Waite,Paul E Ganus,Megan Ward,Bill Moseley,Jack McGee,Sci-Fi,1990,,,2500000.0,,Native-born,North America (US),US,,,,0,1990,3,14,12,18,39
Love Hurts,Bud Yorkin,Bud Yorkin,,Adam Greenberg,Jeff Daniels,Cynthia Sykes,Judith Ivey,John Mahoney,Cloris Leachman,Comedy,1990,,,,,,,,,,,1,1991,8,8,10,0,29
Love Hurts,Barra Grant,Brian Reilly,Lantern Lane Entertainment,Alan Caso,Richard E. Grant,Carrie-Anne Moss,Johnny Pacar,Jenna Elfman,Janeane Garofalo,Romantic Comedy,2009,4.0,,,,Native-born,North America (US),US,,,,1,1991,8,8,10,0,29
Masters of Menace,Daniel Raskov,Lisa M. Hansen,New Line Cinema,Edward J Pei,David Rasche,Catherine Bach,Lance Kinsey,Teri Copley,Ray Baker,Adventure,1990,,,2000000.0,,,,,,,,0,1990,20,2,20,16,41
Night Eyes,Jag Mundhra,Ashok Amritraj,,James Mathers,Andrew Stevens,Tanya Roberts,Cooper Huckabee,Warwick Sims,Karen Baldwin,Thriller,1990,,,,,,,,,,,0,1990,7,0,20,18,32
Troll 2,Claudio Fragasso,,,Federiko Slonisko,Michael Stephenson,Connie McFarland,George Hardy,Margo Prey,Robert Ormsby,Horror,1990,,,,,,,,,,,0,1990,12,22,11,18,2
Witchcraft II: The Temptress,Mark Woods,James R Hanson,,Jens Sturup,Charles Solomon,Delia Sheppard,David L Homb,Mia Ruiz,Jay Richardson,Horror,1990,,,1400000.0,,,,,,,,0,1990,11,12,8,12,2
A Shock to the System,Jan Egleson,Patrick McCormick,Corsair Pictures,Paul Goldsmith,Michael Caine,Elizabeth McGovern,Peter Riegert,Swoosie Kurtz,Will Patton,Comedy,1990,,2011868.0,,,Native-born,North America (US),US,,,,1,1990,5,6,6,5,3
A Show of Force,Bruno Barreto,Fred Weintraub,,Jim Glennon,Amy Irving,Andy Garcia,Lou Diamond Phillips,Robert Duvall,Kevin Spacey,Adaptation,1990,,73405.0,10000000.0,,Foreign-born,,Brazilian,,,,1,1990,5,6,6,19,9
"After Dark, My Sweet",James Foley,Robert Redlin,Astral Films,Mark Plummer,Jason Patric,Rachel Ward,Bruce Dern,Rocky Giordani,Tom Wagner,Adaptation,1990,,535000.0,7100000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1990,3,14,20,4,37
