Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar
Foxy Brown,Jack Hill,Buzz Feitshans,,Brick Marquard,Pam Grier,Antonio Fargas,Peter Brown,Terry Carter,Kathryn Loder,Action,1995,,,,,,,,,,,1
9 1/2 Ninjas,Aaron Barsky,John Morrissey,Republic Pictures Productions,Fernando Arguelles,Michael Phenicie,Andee Gray,Robert Fieldsteel,Magda Harout,"Tommy ""Tiny"" Lister Jr.",Action,1990,,,1500000.0,,,,,,,,0
Alligator II: The Mutation,Jon Hess,Brandon Chase,,Joseph Mangine,Joseph Bologna,Dee Wallace Stone,Woody Brown,Holly Gagnier,Richard Lynch,Horror,1990,,,6000000.0,,Native-born,North America (US),US,,,,0
Back to Back,John Kincade,Brad Krevoy,Concorde Productions,James L Carter,Bill Paxton,Todd Field,Apollonia Kotero,Ben Johnson,Luke Askew,Drama,1990,,,,,,,,,,,1
Behind the Mask,Warren Chaney,Warren Chaney,,,Deborah Winters,John Swayze,Roy Alan Wilson,Kevin Hickman,Steve Ward,Action,1990,,,,,,,,,,,0
Beyond the Door III,Jeff Kwitny,,,Adolfo Bartoli,Mary Kohnert,Bo Svenson,Victoria Zinny,Savina Geršak,Sarah Ciminera Conway,Horror,1990,,,,,,,,,,,0
Blades,Thomas R Rondinella,John P Finegan,Troma Entertainment,Jim Hayman,Robert North,Jeremy Whelan,Victoria Scott,Holly Stevenson,William Towner,Horror,1990,,,,,,,,,,,0
Bullseye!,Michael Winner,Michael Winner,Sony Pictures,David Wynn-Jones,Michael Caine,Roger Moore,Sally Kirkland,Deborah Barrymore,Lee Patterson,Comedy,1990,,,15000000.0,,,,,,,,1
Caged Fury,Bill Milling,Bill Milling,21st Century Film Corporation,Kenneth Witrak,Erik Estrada,Richie Barathy,Roxanna Michaels,Paul L Smith,James Hong,Action,1990,,,3000000.0,,,,,,,,0
Cat Chaser,Abel Ferrara,Peter S Davis,Vestron Pictures,Anthony B Richmond,Peter Weller,Kelly McGillis,Charles Durning,Frederic Forrest,Tomas Milian,Romance,1990,,,8000000.0,,Native-born,North America (US),US,Male,Caucasian,,0
Crash and Burn,Charles Band,David DeCoteau,,Mac Ahlberg,Ralph Waite,Paul E Ganus,Megan Ward,Bill Moseley,Jack McGee,Sci-Fi,1990,,,2500000.0,,Native-born,North America (US),US,,,,0
Curse III: Blood Sacrifice,Sean Barton,Christopher Coy,,Phillip Grosvenor,Christopher Lee,Jenilee Harrison,Henry Cele,Andre Jacobs,Zoe Randall,Horror,1990,,,,,,,,,,,1
Death Spa,Michael Fischa,Jamie Beardsley,,Arledge Armenaki,William Bumiller,Brenda Bakke,Merritt Butrick,Robert Lipton,Rosalind Cash,Horror,1990,,,,,,,,,,,0
Eternity,Steven Paul,Steven Paul,Triax Entertainment Group,John Lambert,Jon Voight,Armand Assante,Eileen Davidson,Wilford Brimley,Kaye Ballard,Drama,1990,,,10000000.0,,,,,,,,1
Exiled in America,Paul Leder,Ralph Tornberg,,Francis Grumman,Edward Laurence Albert,Wings Hauser,Kamala Lopez-Dawson,Stella Stevens,Maxwell Caulfield,Action,1990,,,,,Native-born,North America (US),US,,,,0
