title,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
The Adventures of Ford Fairlane,1990,6,20,6,22,2
"After Dark, My Sweet",1990,3,14,20,4,37
Air America,1990,19,3,6,18,2
Alice,1990,10,17,20,18,2
Almost an Angel,1990,19,4,21,18,2
The Ambulance,1990,7,3,5,4,18
American Ninja 4: The Annihilation,1990,2,4,4,18,2
Andre's Mother,1990,15,9,20,1,6
Angel Town,1990,18,10,6,18,2
Another 48 Hrs.,1990,6,20,11,18,11
Arachnophobia,1990,12,22,16,18,2
Avalon,1990,12,22,6,2,30
Awakenings,1990,9,7,6,18,37
Back to the Future Part III,1990,19,13,14,1,18
Bad Influence,1990,7,21,3,0,17
Basket Case 2,1990,11,12,5,2,15
Betsy's Wedding,1990,12,22,17,2,26
Bird on a Wire,1990,6,14,2,6,16
Blind Faith,1990,5,6,6,18,2
Bloodfist II,1990,17,1,6,18,2
Blue Steel,1990,16,20,18,9,2
The Bonfire of the Vanities,1990,22,19,16,18,2
Bride of Re-Animator,1990,18,10,2,12,44
Cadence,1990,19,13,6,18,2
Cadillac Man,1990,22,19,19,5,36
Captain America,1990,5,6,6,14,10
Cartoon All-Stars to the Rescue,1990,0,17,18,18,26
Catchfire,1990,19,13,8,7,25
Challenger,1990,8,8,1,18,2
Checkered Flag,1990,22,19,2,2,15
Child's Play 2,1990,6,4,6,18,2
China O'Brien,1990,16,6,6,22,29
Class of 1999,1990,1,15,6,18,18
Come See the Paradise,1990,12,22,10,11,18
Coupe de Ville,1990,1,3,18,15,27
Crash and Burn,1990,3,14,12,18,39
Crazy People,1990,10,5,20,18,18
Cry-Baby,1990,4,9,8,18,2
Daddy's Dyin': Who's Got the Will?,1990,12,22,6,0,2
Dances with Wolves,1990,6,20,8,18,2
The Dark Side of the Moon,1990,7,21,16,18,4
Darkman,1990,6,20,6,5,2
Daughter of Darkness,1990,4,11,16,0,25
Days of Thunder,1990,22,19,16,18,2
Death Machine,1990,6,20,16,18,2
Decoration Day,1990,8,8,11,12,12
Def by Temptation,1990,8,8,12,15,2
Delta Force 2: The Colombian Connection,1990,2,20,6,18,2
Desperate Hours,1990,18,10,6,18,18
Dick Tracy,1990,6,20,16,18,44
Die Hard 2,1990,6,20,8,18,2
Dorf Goes Auto Racing,1990,22,19,2,12,4
Downtown,1990,20,2,8,6,2
Dream Machine,1990,22,19,16,18,20
DuckTales the Movie: Treasure of the Lost Lamp,1990,13,18,11,5,7
Edward Scissorhands,1990,0,3,6,18,2
The End of Innocence,1990,7,21,8,1,45
Ernest Goes to Jail,1990,0,17,8,18,2
The Exorcist III,1990,5,6,6,18,37
Faces of Death IV,1990,5,6,11,18,37
The Final Sanction,1990,17,1,21,18,27
Fire Birds,1990,2,13,8,18,2
The First Power,1990,2,20,17,7,14
Flashback,1990,22,21,16,15,43
Flatliners,1990,0,17,22,6,2
Frankenhooker,1990,19,13,18,18,2
Frankenstein Unbound,1990,6,20,8,18,2
The Freshman,1990,13,18,10,12,44
Funny About Love,1990,10,0,18,8,32
Getting Lucky,1990,1,15,9,18,20
Ghost,1990,13,18,8,18,2
Ghost Dad,1990,12,22,13,5,2
Ghosts Can't Do It,1990,3,14,22,22,0
Girlfriend from Hell,1990,1,15,7,18,37
The Godfather Part III,1990,12,4,21,11,2
Goodfellas,1990,5,6,16,18,2
Graffiti Bridge,1990,7,21,20,18,8
Green Card,1990,0,17,20,18,2
Gremlins 2: The New Batch,1990,19,4,5,18,2
The Grifters,1990,14,16,7,18,2
The Guardian,1990,18,10,6,18,16
Guns,1990,5,6,15,18,7
The Guyver,1990,5,6,2,18,0
